Route,Direction,Stop Sequence,Stop
700,Southbound,032,Gold Coast Hwy at Twenty First Avenue [300424]
700,Southbound,032,Golden Four Dr at Short Street [300126]
700,Southbound,033,Gold Coast Hwy at Twenty First Avenue [300424]
700,Southbound,033,Golden Four Dr at Bilinga Beach SLSC [300127]
700,Southbound,033,Golden Four Dr at Bilinga Beach [300132]
700,Southbound,033,Nineteenth Avenue [300425]
700,Southbound,034,Gold Coast Hwy at Fifteenth Avenue [300426]
700,Southbound,034,Golden Four Dr at Bilinga Beach [300132]
700,Southbound,035,Cahill Street [300007]
700,Southbound,035,Gold Coast Hwy at Thirteenth Avenue [300427]
700,Southbound,035,Golden Four Dr at Bilinga Beach [300132]
700,Southbound,035,Golden Four Dr at George Street [300129]
700,Southbound,036,Cahill Street [300007]
700,Southbound,036,Gold Coast Hwy at Eighth Avenue [300428]
700,Southbound,036,Golden Four Dr at Archer Street [300130]
700,Southbound,037,Cahill Street [300007]
700,Southbound,037,Golden Four Dr at Archer Street [300130]
700,Southbound,037,Golden Four Dr at North Kirra Beach [300131]
700,Southbound,037,Palm Beach [300429]
700,Southbound,038,Gold Coast Hwy at Palm Beach Police Station [300431]
700,Southbound,038,Golden Four Dr at Archer Street [300130]
700,Southbound,038,Golden Four Dr at North Kirra Beach [300131]
700,Southbound,038,Musgrave St at Coyne Street [300226]
700,Southbound,039,Gold Coast Hwy at Thrower Drive [300432]
700,Southbound,039,Musgrave St at Coyne Street [300226]
700,Southbound,040,Gold Coast Hwy at Currumbin Hill [300242]
700,Southbound,040,Gold Coast Hwy at Palm Beach Police Station [300431]
700,Southbound,040,Musgrave St at Kirra shops [300227]
700,Southbound,041,Currumbin Wildlife Sanctuary [300248]
700,Southbound,041,Marine Pde at Kirra Beach [300222]
700,Southbound,041,McLean St at Queen Elizabeth Park [300223]
700,Southbound,042,McLean St at Queen Elizabeth Park [300223]
700,Southbound,043,Coolangatta Central [300218]
700,Southbound,043,Golden Four Drive at St Monica's Catholic Church [300583]
700,Southbound,043,Griffith St at Coolangatta East [300219]
700,Southbound,044,Golden Four Dr at Tugun Beach shops [300584]
700,Southbound,044,Griffith St at Coolangatta East [300219]
700,Southbound,045,Golden Four Dr at Shell Street [300581]
700,Southbound,045,Griffith St at Coolangatta East [300219]
700,Southbound,048,Golden Four Dr at Bilinga Beach [300132]
700,Southbound,049,Golden Four Dr at George Street [300129]
700,Southbound,050,Cahill Street [300007]
700,Southbound,051,Golden Four Dr at Archer Street [300130]
700,Southbound,052,Golden Four Dr at North Kirra Beach [300131]
700,Southbound,053,Musgrave St at Coyne Street [300226]
700,Southbound,054,Musgrave St at Kirra shops [300227]
700,Southbound,055,Marine Pde at Kirra Beach [300222]
700,Southbound,056,McLean St at Queen Elizabeth Park [300223]
700,Southbound,057,Coolangatta Central [300218]
700,Southbound,058,Griffith St at Coolangatta East [300219]
700,Southbound,Last Stop,Wharf St at Tweed Mall [300003]
753,Northbound,001,Burleigh Heads station [321299]
753,Northbound,002,West Burleigh Rd at Stanley Street [300184]
753,Northbound,003,West Burleigh Rd at George Street West [300185]
753,Northbound,004,West Burleigh Rd at Dunlin Drive [300186]
753,Northbound,005,Reedy Creek Rd at Ambassador Drive [302264]
753,Northbound,005,Stockland Burleigh Heads [300021]
753,Northbound,006,Classic Way at Treetops Plaza [300197]
753,Northbound,007,Reedy Creek Rd at Ambassador Drive [302264]
753,Northbound,007,Varsity Lakes station [300051]
753,Northbound,008,Scottsdale Dr near Reedy Creek Rd [301437]
753,Northbound,008,Varsity Sound Ave near Azzurra Dr [302284]
753,Northbound,009,Varsity Lakes station [300051]
753,Northbound,009,Varsity Pde near University Dr [301457]
753,Northbound,010,University Dr near Hillridge Cr [301456]
753,Northbound,010,Varsity Sound Ave near Azzurra Dr [302284]
753,Northbound,011,University Dr near Shore Ave [301310]
753,Northbound,011,Varsity Pde near University Dr [301457]
753,Northbound,012,Bond University [319719]
753,Northbound,012,University Dr near Hillridge Cr [301456]
753,Northbound,013,University Dr near Cottesloe Dr [301311]
753,Northbound,013,University Dr near Shore Ave [301310]
753,Northbound,014,Bond University [319719]
753,Northbound,014,Pyrmont St near Cottesloe Dr [301292]
753,Northbound,015,University Dr near Cottesloe Dr [301311]
753,Northbound,016,Manly Dr near Pipers Pt [301288]
753,Northbound,016,Pyrmont St near Cottesloe Dr [301292]
753,Northbound,017,Manly Dr near Sandringham Dr [301289]
753,Northbound,017,Ron Penhaligon Way near Vaucluse Pl [301301]
753,Northbound,018,Manly Dr near Pipers Pt [301288]
753,Northbound,018,Ron Penhaligon Way near Essendon Pl [301298]
753,Northbound,019,Markeri St at Ron Penhaligon Way [300734]
753,Northbound,019,Ron Penhaligon Way near Vaucluse Pl [301301]
753,Northbound,020,Markeri St near Allandale Ent [300956]
753,Northbound,020,Ron Penhaligon Way near Essendon Pl [301298]
